id,variant_id,attribute_value_id,created_at
9556fcdf-bf6b-4e6f-b13c-7af28c917346,e9c61bd1-5c21-436e-a394-eae85f8272fc,98e67831-6ae9-4773-886e-c2fa3d0dd8ce,2025-06-08 10:52:44.740779+00
9d47d8b4-667d-4032-bbcd-77ce945423c4,7d58eef4-4d97-4a3f-8173-7e4de8ef9bc7,fcb601aa-920f-41ed-bcb4-b98a94d710bc,2025-07-12 16:04:58.674949+00
a3725b2f-3429-4e15-879f-c154421f6ded,e9c61bd1-5c21-436e-a394-eae85f8272fc,7904c732-f37b-47a1-b975-263a7188c351,2025-06-08 10:52:44.286041+00
afe5fcf0-6817-4ec3-9ad2-5f0890d50d68,7ba389da-6ea4-45b4-8fa6-38c0081f16dd,fcb601aa-920f-41ed-bcb4-b98a94d710bc,2025-07-12 16:04:59.7038+00
ca01a1d2-4cf2-4584-8649-03b8f155e115,d3476576-0d6e-4bf8-ae20-2f6892c003cb,9a2a6bab-cfce-4bc4-ac46-29d35000b1a5,2025-07-12 16:04:59.150587+00
cbe1aefc-154e-4785-b662-41e90cefa567,d3476576-0d6e-4bf8-ae20-2f6892c003cb,d69a0c05-d115-4d0d-9f9f-45eda1d0d885,2025-07-12 16:04:59.150587+00
da4a2b53-4786-46ea-b30d-28fed4d5a4f1,4883ca84-50a6-4cbd-99e9-1a68f2993c3b,9a2a6bab-cfce-4bc4-ac46-29d35000b1a5,2025-07-12 15:59:53.292775+00
db783472-7290-4a78-80e5-1bd83d62ab1d,e7239323-0d45-401d-b41c-2d7aed92750c,d69a0c05-d115-4d0d-9f9f-45eda1d0d885,2025-07-12 15:59:54.94375+00
dbb7c534-8e15-49ac-a5a6-b0a7cd024172,e15b89ba-8f87-47e7-8674-141f96f82866,7934dc74-2076-484a-9aed-a6efb535cc26,2025-06-08 09:09:46.358662+00
e0f0ee48-7c81-4860-886d-a28953855112,c38af4a3-8901-4982-95dd-ea240e7c34c2,9a2a6bab-cfce-4bc4-ac46-29d35000b1a5,2025-07-12 15:59:54.46861+00
